24-06-2021,\Islamabad_,N)1, 650 L5i.t0re0,in1605.00,1605.00
05-11-2020,\Islamabad_,N1)2,6 55 .L0it0r,1T2in65.00,1265.00
29-10-2020,\Islamabad_,N1)2, 655 L.0it0r,1T2in65.00,1265.00
22-10-2020,\Islamabad_,N)1, 256 L5i.t0re0,in1265.00,1265.00
15-10-2020,\Islamabad_,N1)2, 655 L.0it0r,1T2in65.00,1265.00
08-10-2020,\Islamabad_,1)2, 655 L.0itr0,T1i2n65.00,1265.00
01-10-2020,\Islamabad_,1),2 56 5L.i0tr0,T1i2n65.00,1265.00
24-09-2020,\Islamabad_,),1 52 6L5itr.0e0,in 1265.00,1265.0
17-09-2020,\Islamabad_,),1 52 6L5itr.0e0,in 1265.00,1265.0
10-09-2020,\Islamabad_,),1 52 4L0itr.0e0,in 1240.00,1240.0
03-09-2020,\Islamabad_,),1 52 4L0itr.0e0,in 1240.00,1240.0
27-08-2020,\Islamabad_,),1 52 4L0itr.0e0,in 1240.00,1240.0
20-08-2020,\Islamabad_,),1 52 4L0itr.0e0,in 1240.00,1240.0
13-08-2020,\Islamabad_,N)1, 254 L0i.t0re0,in1240.00,1240.00
06-08-2020,\Islamabad_,N)1, 254 L0i.t0re0,in1240.00,1240.00
29-07-2020,\Islamabad_,),1 52 4L0itr.0e0,in 1240.00,1240.0
23-07-2020,\Islamabad_,),1 52 4L0itr.0e0,in 1240.00,1240.0
16-07-2020,\Islamabad_,N)1, 254 L0i.t0re0,in1240.00,1240.00
09-07-2020,\Islamabad_,)1, 254 L0i.t0re0,in1240.00,1240.00
02-07-2020,\Islamabad_,N)1, 254 L0i.t0re0,in1240.00,1240.00
25-06-2020,\Islamabad_,),1 52 4L0itr.0e0,in 1240.00,1240.0
18-06-2020,\Islamabad_,1),2 54 0L.i0tr0,T1i2n40.00,1240.00
11-06-2020,\Islamabad_,N)1, 254 L0i.t0re0,in1240.00,1240.00
04-06-2020,\Islamabad_,N)1, 254 L0i.t0re0,in1240.00,1240.00
28-05-2020,\Islamabad_,),1 52 4L0itr.0e0,in 1240.00,1240.0
21-05-2020,\Islamabad_,),1 52 4L0itr.0e0,in 1240.00,1240.0
14-05-2020,\Islamabad_,1),2 54 0L.i0tr0,T1i2n40.00,1240.00
07-05-2020,\Islamabad_,1),2 54 0L.i0tr0,T1i2n40.00,1240.00
30-04-2020,\Islamabad_,),1 52 4L0itr.0e0,in 1240.00,1240.0
23-04-2020,\Islamabad_,1),2 54 0L.i0tr0,T1i2n40.00,1240.00
16-04-2020,\Islamabad_,1),2 54 0L.i0tr0,T1i2n40.00,1240.00
09-04-2020,\Islamabad_,1),2 54 0L.i0tr0,T1i2n40.00,1240.00
02-04-2020,\Islamabad_,1),2 54 0L.i0tr0,T1i2n40.00,1240.00
26-03-2020,\Islamabad_,1),3 50 0L.i0tr0,T1i3n00.00,1300.00
19-03-2020,\Islamabad_,1),3 50 0L.i0tr0,T1i3n00.00,1300.00
12-03-2020,\Islamabad_,1),3 50 0L.i0tr0,T1i3n00.00,1300.00
05-03-2020,\Islamabad_,1),3 50 0L.i0tr0,T1i3n00.00,1300.00
27-02-2020,\Islamabad_,),1 53 0L0itr.0e0,in 1300.00,1300.0
20-02-2020,\Islamabad_,),1 53 0L0itr.0e0,in 1300.00,1300.0
13-02-2020,\Islamabad_,N)1, 350 L0i.t0re0,in1300.00,1300.00
06-02-2020,\Islamabad_,),1 53 0L0itr.0e0,in 1300.00,1300.0
30-01-2020,\Islamabad_,),1 51 8L5itr.0e0,in 1185.00,1185.0
23-01-2020,\Islamabad_,),1 51 8L5itr.0e0,in 1185.00,1185.0
16-01-2020,\Islamabad_,),1 51 8L5itr.0e0,in 1185.00,1185.0
09-01-2020,\Islamabad_,1),1 58 5L.i0tr0,T1i1n85.00,1185.00
02-01-2020,\Islamabad_,)1,1 58 5L.it0r0e,T1in185.00,1185.00
26-12-2019,\Islamabad_,),1 51 7L0itr.0e0,in 1170.00,1170.0
19-12-2019,\Islamabad_,1),1 57 0L.i0tr0,T1i1n70.00,1170.00
12-12-2019,\Islamabad_,1),1 57 0L.i0tr0,T1i1n70.00,1170.00
05-12-2019,\Islamabad_,),1 51 7L0itr.0e0,in 1170.00,1170.0
28-11-2019,\Islamabad_,N)1, 157 L0i.t0re0,in1170.00,1170.00
21-11-2019,\Islamabad_,Lit1re1 7T0in.00,1170.00,1170.0
14-11-2019,\Islamabad_,1),1 57 0L.i0tr0,T1i1n70.00,1170.00
07-11-2019,\Islamabad_,), 151 4L5itr.e0 0,in 1145.00,1145.0
31-10-2019,\Islamabad_,1),1 54 5L.i0tr0e,T1in145.00,1145.00
24-10-2019,\Islamabad_,1),1 54 5L.i0tr0e,T1i1n45.00,1145.00
17-10-2019,\Islamabad_,1),1 54 5L.i0tr0,T1i1n45.00,1145.00
10-10-2019,\Islamabad_,i1tr1e4 T5i.n00,1145.00,1145.0
03-10-2019,\Islamabad_,1145.00,1145.0,1145.0
26-09-2019,\Islamabad_,N1)1, 455 L.0it0r,1T1in45.00,1145.00
19-09-2019,\Islamabad_,1),1 54 5L.i0tr0,T1i1n45.00,1145.00
12-09-2019,\Islamabad_,N1)1, 455 L.0it0r,1T1in45.00,1145.00
05-09-2019,\Islamabad_,1),1 54 5L.i0tr0e,T1i1n45.00,1145.00
