24-06-2021,\Islamabad_,rior3 Q16u.a0l0it,1 k3g1 6P.o0u0,h316.00
21-01-2021,\Islamabad_,ality2 617 k.0g0,ouc2h67.00,267.0
14-01-2021,\Islamabad_,DA2/6H7A.0B0I,or2 O67th.0e0r,sup2e6r7io.0r 0
07-01-2021,\Islamabad_,rior2 Q67u.a0l0it,1 k2g6 P7.o0u0,h267.00
31-12-2020,\Islamabad_,rior 2Q6u7a.0li0t,1 k2g6 P7o.0u0c,267.0
24-12-2020,\Islamabad_,rio2r 5Q5u.0a0li,y 1 2k5g5 P.0o0,ch 255.00
17-12-2020,\Islamabad_,ior 2Q5u5a.l0it0y,1 kg2 5P5o.u0c0,255.0
10-12-2020,\Islamabad_,rior2 Q55u.a0l0it,1 k2g5 5P.o0u0,h255.00
03-12-2020,\Islamabad_,rior2 Q55u.a0l0it,1 k2g5 5P.o0u0,h255.00
26-11-2020,\Islamabad_,rior 2Q4u6a.0lit0y,1 kg2 4P6o.0u0c,246.0
19-11-2020,\Islamabad_,rio2r4 Q6.u0a0l,ty 214 k6g.0 P0,uc2h46.00
12-11-2020,\Islamabad_,rio2r 4Q6u.0a0lit,1 k2g4 6P.0o0u,h246.00
05-11-2020,\Islamabad_,ri2o4r 6Q.0u0a,ity2 14 6k.g0 0P,u2c4h6.00
29-10-2020,\Islamabad_,rio2r4 Q6.u0a0l,ty 214 k6g.0 P0,uc2h46.00
22-10-2020,\Islamabad_,rior2 Q46u.a0l0it,1 k2g4 6P.o0u0,h246.00
15-10-2020,\Islamabad_,rio2r4 Q6.u0a0l,ty 214 k6g.0 P0,uc2h46.00
08-10-2020,\Islamabad_,rio2r4 Q6.u0a0li,y 12 4k6g. 0P0,uc2h46.00
01-10-2020,\Islamabad_,rio2r4 Q6u.0a0li,y 12 4k6g. 0P0,uc2h46.00
24-09-2020,\Islamabad_,rior 2Q4u6a.0lit0y,1 kg2 4P6o.0u0c,246.0
17-09-2020,\Islamabad_,rior 2Q4u6a.0lit0y,1 kg2 4P6o.0u0c,246.0
10-09-2020,\Islamabad_,rior 2Q4u2a.0lit0y,1 kg2 4P2o.0u0c,242.0
03-09-2020,\Islamabad_,rior 2Q4u2a.0lit0y,1 kg2 4P2o.0u0c,242.0
27-08-2020,\Islamabad_,ior 2Q4u2a.l0it0y,1 kg2 4P2o.u0c0,242.0
20-08-2020,\Islamabad_,ior 2Q4u2a.l0it0y,1 kg2 4P2o.u0c0,242.0
13-08-2020,\Islamabad_,rior2 Q42u.a0l0it,1 k2g4 2P.o0u0,h242.00
06-08-2020,\Islamabad_,rior2 Q42u.a0l0it,1 k2g4 2P.o0u0,h242.00
29-07-2020,\Islamabad_,rior 2Q4u2a.0lit0y,1 kg2 4P2o.0u0c,242.0
23-07-2020,\Islamabad_,rior 2Q4u2a.0lit0y,1 kg2 4P2o.0u0c,242.0
16-07-2020,\Islamabad_,rior2 Q42u.a0l0it,1 k2g4 2P.o0u0,h242.00
09-07-2020,\Islamabad_,rior2 Q42u.a0l0it,1 k2g4 2P.0o0u,h242.00
02-07-2020,\Islamabad_,rior2 Q42u.a0l0it,1 k2g4 2P.o0u0,h242.00
25-06-2020,\Islamabad_,rior 2Q4u2a.0lit0y,1 kg2 4P2o.0u0c,242.0
18-06-2020,\Islamabad_,rio2r4 Q2u.0a0li,y 12 4k2g. 0P0,uc2h42.00
11-06-2020,\Islamabad_,rior2 Q42u.a0l0it,1 k2g4 2P.o0u0,h242.00
04-06-2020,\Islamabad_,rio2r 4Q2u.a0l0it,1 k2g4 2P.o0u0,h242.00
28-05-2020,\Islamabad_,rior 2Q4u2a.0lit0y,1 kg2 4P2o.0u0c,242.0
21-05-2020,\Islamabad_,rior 2Q4u2a.0lit0y,1 kg2 4P2o.0u0c,242.0
14-05-2020,\Islamabad_,rio2r4 Q2u.0a0li,y 12 4k2g. 0P0,uc2h42.00
07-05-2020,\Islamabad_,rio2r4 Q2u.0a0li,y 12 4k2g. 0P0,uc2h42.00
30-04-2020,\Islamabad_,rior 2Q4u2a.0lit0y,1 kg2 4P2o.0u0c,242.0
23-04-2020,\Islamabad_,rio2r4 Q2u.0a0li,y 12 4k2g. 0P0,uc2h42.00
16-04-2020,\Islamabad_,rio2r4 Q2u.0a0li,y 12 4k2g. 0P0,uc2h42.00
09-04-2020,\Islamabad_,rio2r4 Q2u.0a0li,y 12 4k2g. 0P0,uc2h42.00
02-04-2020,\Islamabad_,rio2r4 Q2u.0a0li,y 12 4k2g. 0P0,uc2h42.00
26-03-2020,\Islamabad_,rio2r5 Q4u.0a0li,y 12 5k4g. 0P0,uc2h54.00
19-03-2020,\Islamabad_,rio2r5 Q4u.0a0li,y 12 5k4g. 0P0,uc2h54.00
12-03-2020,\Islamabad_,rio2r5 Q4u.0a0li,y 12 5k4g. 0P0,uc2h54.00
05-03-2020,\Islamabad_,rio2r5 Q4u.0a0li,y 12 5k4g. 0P0,uc2h54.00
27-02-2020,\Islamabad_,rior 2Q5u4a.0lit0y,1 kg2 5P4o.0u0c,254.0
20-02-2020,\Islamabad_,rior 2Q5u4a.0lit0y,1 kg2 5P4o.0u0c,254.0
13-02-2020,\Islamabad_,rio2r 5Q4u.a0l0it,1 k2g5 4P.o0u0,h254.00
06-02-2020,\Islamabad_,rior 2Q5u4a.0lit0y,1 kg2 5P4o.0u0c,254.0
30-01-2020,\Islamabad_,rior 2Q2u3a.0lit0y,1 kg2 2P3o.5u0c,225.0
23-01-2020,\Islamabad_,rior 2Q2u3a.0lit0y,1 kg2 2P3o.5u0c,225.0
16-01-2020,\Islamabad_,rior 2Q2u3a.0lit0y,1 kg2 2P3o.0u0c,223.0
09-01-2020,\Islamabad_,rio2r2 Q3u.0a0li,y 12 2k3g. 0P0,uc2h23.00
02-01-2020,\Islamabad_,io2r 2Q3u.0a0lit,12 k2g3 .P00o,ch223.00
26-12-2019,\Islamabad_,rior 2Q1u7a.0lit0y,1 kg2 1P7o.7u5c,220.0
19-12-2019,\Islamabad_,rio2r1 Q7u.0a0li,y 12 1k7g. 7P5,uc2h20.00
12-12-2019,\Islamabad_,rio2r1 Q7u.0a0li,y 12 1k7g. 7P5,uc2h20.00
05-12-2019,\Islamabad_,rior 2Q1u7a.0lit0y,1 kg2 1P9o.7u3c,225.0
28-11-2019,\Islamabad_,rior2 Q25u.a0l0it,1 k2g2 5P.o0u0,h225.00
21-11-2019,\Islamabad_,ual2it2y5 1.0 k0g,Pou2c2h5.00,225.0
14-11-2019,\Islamabad_,rio2r2 Q5u.0a0li,y 12 2k5g. 0P0,uc2h25.00
07-11-2019,\Islamabad_,rior 2Q2u5a.0lit0y,1 kg2 2P5o.u0c0,225.0
31-10-2019,\Islamabad_,rio2r 1Q0u.0a0li,y 12 1k5g. 8P1o,c2h20.00
24-10-2019,\Islamabad_,rio2r1 Q0u.0a0li,y 12 1k5g. 8P1o,c2h20.00
17-10-2019,\Islamabad_,rio2r1 Q0u.0a0li,y 12 1k5g. 8P1,uc2h20.00
10-10-2019,\Islamabad_,ua2lit1y0 1.0 k0,P2o1u2c.h90,215.0
03-10-2019,\Islamabad_,210.00,212.9,215.0
26-09-2019,\Islamabad_,rio2r1 Q0.u0a0l,ty 211 k2g.9 P0,uc2h15.00
19-09-2019,\Islamabad_,rio2r1 Q0u.0a0li,y 12 1k2g. 9P0,uc2h15.00
12-09-2019,\Islamabad_,rio2r1 Q0.u0a0l,ty 211 k2g.9 P0,uc2h15.00
05-09-2019,\Islamabad_,rio2r1 Q0.u0a0li,y 12 1k2g. 9P0,uc2h15.00
